company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,cityid,Educ,Race,Education,Company,Gender
Amazon,L5,Software Engineer,240000,"Seattle, WA",5,5,Full Stack,144000,1.00E+05,0,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,SDE III,Software Engineer,392000,"New York, NY",21,1,Full Stack,181000,190000,20000,Male,10182,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,267000,"Seattle, WA",5,4,Distributed Systems (Back-End),147000,120000,0,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,215000,"Seattle, WA",3,3,API Development (Back-End),144000,70000,0,Male,11527,1,White,Master's Degree,1,1
Amazon,L4,Software Engineer,142000,"Seattle, WA",0,0,Web Development (Front-End),112000,4000,26000,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,320000,"Sunnyvale, CA",3,0,Full Stack,180000,60000,80000,Female,7472,0,Asian,Bachelor's Degree,1,0
Amazon,L5,Software Engineer,172000,"Seattle, WA",8,2,Full Stack,145000,22000,5000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,350000,"Palo Alto, CA",3,0,Distributed Systems (Back-End),185000,15000,150000,Male,7351,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,240000,"Seattle, WA",6,0,API Development (Back-End),150000,90000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,256000,"Austin, TX",6,5,Distributed Systems (Back-End),159000,97000,0,Male,10965,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,240000,"Seattle, WA",4,0,Full Stack,155000,50000,35000,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,165000,"Seattle, WA",4,1,API Development (Back-End),140000,25000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,189000,"Seattle, WA",4,4,ML / AI,139000,50000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,243000,"Seattle, WA",4,0,API Development (Back-End),148000,10000,88000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L6,Software Engineer,310000,"Seattle, WA",7,7,Full Stack,160000,150000,0,Male,11527,0,Two Or More,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,225000,"Seattle, WA",5,0,Distributed Systems (Back-End),160000,12000,53000,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,240000,"Seattle, WA",2,0,Full Stack,155000,10000,77000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,2.00E+05,"Sunnyvale, CA",2,0,Firmware engineer,142000,58000,0,Male,7472,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,214000,"Seattle, WA",5,0,Systems Development Engineer,155000,32000,27000,Male,11527,1,Two Or More,Master's Degree,1,1
Amazon,L5,Software Engineer,240000,"Seattle, WA",4,3,ML / AI,160000,27000,53000,Male,11527,0,Two Or More,Bachelor's Degree,1,1
Amazon,L6,Software Engineer,260000,"Seattle, WA",7,7,Distributed Systems (Back-End),152000,108000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,215000,"Seattle, WA",8,5,Distributed Systems (Back-End),144000,71000,0,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,240000,"Seattle, WA",6,0,Distributed Systems (Back-End),155000,51000,35000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,207000,"Seattle, WA",4,4,API Development (Back-End),145000,62000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,158000,"Palo Alto, CA",1,0,Full Stack,128000,0,30000,Male,7351,0,Asian,Bachelor's Degree,1,1
Amazon,SDE I,Software Engineer,181000,"Seattle, WA",2,0,Full Stack,129000,31000,20000,Male,11527,0,Hispanic,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,192000,"Palo Alto, CA",0,0,Distributed Systems (Back-End),128000,24000,40000,Female,7351,1,Asian,Master's Degree,1,0
Amazon,L5,Software Engineer,275000,"Seattle, WA",2,0,Distributed Systems (Back-End),150000,10000,115000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L7,Software Engineer,5.00E+05,"San Francisco, CA",11,10,Distributed Systems (Back-End),185000,315000,0,Male,7419,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,58000,NA,7,1,Distributed Systems (Back-End),38000,6000,14000,Male,13147,1,Asian,Master's Degree,1,1
Amazon,SDE2,Software Engineer,248000,"Palo Alto, CA",3,3,API Development (Back-End),168000,80000,0,Male,7351,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,197000,"San Francisco, CA",5,0,ML / AI,140000,7000,50000,Male,7419,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,254000,"Seattle, WA",3,3,Distributed Systems (Back-End),149000,105000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,199000,"Seattle, WA",3,3,Distributed Systems (Back-End),145000,54000,0,Female,11527,0,Asian,Bachelor's Degree,1,0
Amazon,SDE I,Software Engineer,189000,"Seattle, WA",3,0,Full Stack,130000,25000,34000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,176000,"Tempe, AZ",0,0,Full Stack,130000,26000,19000,Male,7053,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,170000,"Seattle, WA",1,0,API Development (Back-End),130000,40000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,215000,"Arlington, VA",3,0,Distributed Systems (Back-End),150000,12000,53000,Male,11342,0,White,Bachelor's Degree,1,1
Amazon,SDE I,Software Engineer,154000,"New York, NY",0,0,ML / AI,123000,5000,26000,Male,10182,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,190000,"Seattle, WA",2,0,API Development (Back-End),140000,5000,40000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,225000,"Seattle, WA",6,0,Distributed Systems (Back-End),158000,0,65000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,2.00E+05,"Seattle, WA",5,3,API Development (Back-End),140000,60000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,255000,"Seattle, WA",7,0,Full Stack,135000,40000,80000,Male,11527,0,Two Or More,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,220000,"Seattle, WA",7,0,Full Stack,145000,48000,28000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,190000,"New York, NY",3,0,Full Stack,135000,34000,22000,Male,10182,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,204000,"Seattle, WA",8,3,API Development (Back-End),138000,66000,0,Female,11527,1,Asian,Master's Degree,1,0
Amazon,L5,Software Engineer,215000,"Seattle, WA",3,3,Distributed Systems (Back-End),145000,70000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,202000,"Seattle, WA",5,5,Distributed Systems (Back-End),142000,60000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L6,Software Engineer,265000,"Seattle, WA",4,4,AWS,160000,105000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,221000,"Seattle, WA",2,2,Distributed Systems (Back-End),157000,64000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,220000,"Seattle, WA",5,5,Mobile (iOS + Android),140000,80000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,SDE I,Software Engineer,173000,"Seattle, WA",1,0,Full Stack,130000,3000,40000,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,220000,"Arlington, VA",4,1,Full Stack,151000,37000,28000,Female,11342,0,Asian,Bachelor's Degree,1,0
Amazon,L5,Software Engineer,261000,"Seattle, WA",4,0,Web Development (Front-End),160000,60000,41000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,207000,"Seattle, WA",9,4,Distributed Systems (Back-End),143000,64000,0,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,154000,"Seattle, WA",1,0,Data,112000,20000,22000,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,Principal SDE,Software Engineer,7.00E+05,"Seattle, WA",20,12,Distributed Systems (Back-End),160000,540000,0,Male,11527,1,White,Master's Degree,1,1
Amazon,L4,Software Engineer,164000,"Austin, TX",0,0,API Development (Back-End),116000,12000,36000,Male,10965,0,Asian,Bachelor's Degree,1,1
Amazon,SDE II,Software Engineer,210000,"Seattle, WA",5,1,Android,145000,65000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,162000,"Sunnyvale, CA",0,0,Full Stack,128000,4000,30000,Male,7472,1,Asian,Master's Degree,1,1
Amazon,SDE I,Software Engineer,169000,"Minneapolis, MN",2,0,API Development (Back-End),125000,16000,28000,Male,9194,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,186000,"Seattle, WA",2,0,API Development (Back-End),130000,15000,40000,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,SDE I,Software Engineer,175000,"Seattle, WA",0,0,Full Stack,116000,22000,37000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,246000,"Seattle, WA",7,1,Distributed Systems (Back-End),158000,38000,50000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L6,Software Engineer,380000,"Seattle, WA",8,0,Web Development (Front-End),160000,125000,95000,Male,11527,0,Hispanic,Bachelor's Degree,1,1
Amazon,L7,Software Engineer,789000,"Seattle, WA",15,2,Full Stack,160000,629000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,143000,"Seattle, WA",1,1,ML / AI,108000,4000,31000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,61000,NA,4,4,API Development (Back-End),36000,25000,0,Male,13147,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,253000,"Austin, TX",3,0,ML / AI,150000,78000,25000,Male,10965,0,Hispanic,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,253000,"Seattle, WA",12,0,Distributed Systems (Back-End),155000,62000,36000,Male,11527,0,Hispanic,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,254000,"Cambridge, MA",2,0,ML / AI,156000,10000,89000,Male,8821,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,280000,"San Francisco, CA",4,0,Full Stack,150000,10000,120000,Male,7419,0,Asian,Bachelor's Degree,1,1
Amazon,SDE II,Software Engineer,227000,"Austin, TX",7,0,Full Stack,152000,45000,30000,Male,10965,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,157000,"Seattle, WA",1,1,Distributed Systems (Back-End),112000,20000,25000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,SDE I,Software Engineer,184000,"Seattle, WA",4,0,Full Stack,125000,25000,34000,Male,11527,0,Two Or More,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,191000,"Seattle, WA",8,2,Control Systems,128000,63000,0,Male,11527,1,White,Master's Degree,1,1
Amazon,L5,Software Engineer,275000,"Palo Alto, CA",5,0,Distributed Systems (Back-End),170000,10000,95000,Male,7351,1,Two Or More,Master's Degree,1,1
Amazon,L5,Software Engineer,244000,"Seattle, WA",11,8,Full Stack,158000,86000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,161000,"Seattle, WA",0,0,Full Stack,116000,22000,23000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,2.00E+05,"Seattle, WA",6,3,API Development (Back-End),145000,55000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,SDE I,Software Engineer,196000,"San Francisco, CA",1,0,API Development (Back-End),140000,32000,23000,Male,7419,1,White,Master's Degree,1,1
Amazon,L5,Software Engineer,182000,"Seattle, WA",6,4,API Development (Back-End),128000,50000,5000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,284000,"Seattle, WA",4,4,Distributed Systems (Back-End),144000,140000,0,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,195000,"Los Angeles, CA",4,0,Data,150000,45000,0,Male,7275,1,Asian,Master's Degree,1,1
Amazon,L6,Software Engineer,318000,"Seattle, WA",7,7,Databases,156000,162000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,263000,"New York, NY",5,0,Distributed Systems (Back-End),172000,51000,40000,Male,10182,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,175000,"Seattle, WA",2,1,ML / AI,147000,10000,19000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,168000,"Seattle, WA",2,2,Distributed Systems (Back-End),116000,22000,30000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,2.00E+05,"Seattle, WA",3,3,Distributed Systems (Back-End),136000,60000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,2.00E+05,"Seattle, WA",3,3,Full Stack,145000,55000,0,Female,11527,1,Hispanic,Master's Degree,1,0
Amazon,L4,Software Engineer,182000,"Seattle, WA",3,0,Web Development (Front-End),116000,22000,44000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,286000,"Sunnyvale, CA",5,3,Distributed Systems (Back-End),159000,127000,0,Female,7472,1,Asian,Master's Degree,1,0
Amazon,L4,Software Engineer,152000,"Arlington, VA",2,0,Full Stack,112000,4000,36000,Male,11342,0,Hispanic,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,204000,"Seattle, WA",10,6,API Development (Back-End),140000,60000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,202000,"Seattle, WA",13,5,Full Stack,144000,58000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,217000,"Seattle, WA",10,5,Distributed Systems (Back-End),153000,64000,0,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L6,Software Engineer,257000,"Minneapolis, MN",10,4,Distributed Systems (Back-End),160000,97000,0,Female,9194,0,White,Bachelor's Degree,1,0
Amazon,L4,Software Engineer,156000,"New York, NY",1,1,Distributed Systems (Back-End),121000,3000,32000,Female,10182,0,White,Bachelor's Degree,1,0
Amazon,L4,Software Engineer,203000,"Palo Alto, CA",1,1,Distributed Systems (Back-End),163000,40000,0,Male,7351,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,153000,"Bellevue, WA",0,0,Distributed Systems (Back-End),116000,22000,15000,Female,11470,0,Asian,Bachelor's Degree,1,0
Amazon,L4,Software Engineer,157000,"Phoenix, AZ",2,0,Full Stack,116000,4000,37000,Male,7042,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,180000,"Seattle, WA",4,2,Android,136000,44000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L6,Software Engineer,285000,"Seattle, WA",10,7,API Development (Back-End),150000,136000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L3,Software Engineer,181000,"Seattle, WA",4,0,Mobile (iOS + Android),131000,5000,45000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,SDE III,Software Engineer,450000,"Seattle, WA",20,0,Distributed Systems (Back-End),159000,291000,0,Male,11527,1,White,Master's Degree,1,1
Amazon,L4,Software Engineer,146000,"Seattle, WA",2,1,Distributed Systems (Back-End),118000,18000,11000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,SDE III,Software Engineer,263000,"Seattle, WA",7,7,Security,155000,108000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,SDE1,Software Engineer,210000,"Sunnyvale, CA",2,0,Distributed Systems (Back-End),150000,60000,0,Male,7472,1,White,Master's Degree,1,1
Amazon,L4,Software Engineer,177000,"Cupertino, CA",1,1,Infrastructure,137000,0,40000,Male,7158,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,157000,"Tempe, AZ",0,0,API Development (Back-End),116000,22000,15000,Male,7053,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,297000,"Seattle, WA",5,3,Cloud,153000,144000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,SDE I,Software Engineer,154000,"Seattle, WA",0,0,Full Stack,116000,6000,30000,Male,11527,0,Two Or More,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,160000,"San Francisco, CA",4,0,Testing (SDET),120000,3000,38000,Male,7419,0,Asian,Bachelor's Degree,1,1
Amazon,SDE II,Software Engineer,3.00E+05,"Sunnyvale, CA",10,4,Distributed Systems (Back-End),160000,140000,0,Male,7472,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,177000,"Seattle, WA",3,0,Full Stack,117000,20000,40000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,157000,"Seattle, WA",0,0,ML / AI,116000,5000,36000,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,343000,"Berkeley, CA",6,0,Distributed Systems (Back-End),180000,94000,69000,Male,7099,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,242000,"Seattle, WA",2,0,ML / AI,155000,56000,31000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,157000,"Seattle, WA",1,0,Full Stack,116000,0,37000,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,SDE2,Software Engineer,220000,"Boston, MA",8,2,Full Stack,160000,60000,0,Male,8816,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,211000,"Seattle, WA",5,5,Full Stack,146000,66000,0,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,187000,"Sunnyvale, CA",0,0,Mobile (iOS + Android),134000,5000,48000,Male,7472,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,227000,"Seattle, WA",5,5,Distributed Systems (Back-End),157000,70000,0,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,280000,"Seattle, WA",12,4,Distributed Systems (Back-End),150000,130000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,223000,"Seattle, WA",5,1,Full Stack,155000,68000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,176000,"Palo Alto, CA",5,1,Full Stack,134000,25000,17000,Male,7351,1,Two Or More,Master's Degree,1,1
Amazon,L5,Software Engineer,213000,"Seattle, WA",10,2,API Development (Back-End),196000,16000,3000,Male,11527,0,Hispanic,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,144000,"Seattle, WA",0,0,Full Stack,112000,4000,28000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,215000,"Seattle, WA",16,2,Site Reliability (SRE),150000,5000,60000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L6,Software Engineer,285000,"Seattle, WA",8,4,ML / AI,159000,126000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,2.00E+05,"Seattle, WA",5,3,Distributed Systems (Back-End),144000,56000,0,Female,11527,0,White,Bachelor's Degree,1,0
Amazon,SDE I,Software Engineer,160000,"Seattle, WA",1,0,Full Stack,112000,22000,26000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,185000,"Arlington, VA",7,1,Full Stack,146000,5000,34000,Male,11342,0,Black,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,158000,"Austin, TX",0,0,API Development (Back-End),116000,0,37000,Male,10965,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,157000,"Seattle, WA",0,0,ML / AI,116000,4000,37000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,173000,"Seattle, WA",0,0,API Development (Back-End),116000,20000,37000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,2.00E+05,"Boston, MA",5,4,Full Stack,149000,52000,0,Male,8816,0,Asian,Bachelor's Degree,1,1
Amazon,SDE II,Software Engineer,227000,"Phoenix, AZ",6,5,Distributed Systems (Back-End),145000,82000,0,Male,7042,0,White,Bachelor's Degree,1,1
Amazon,SDE I,Software Engineer,165000,"Seattle, WA",3,1,API Development (Back-End),130000,2000,33000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,123000,"Boston, MA",1,1,ML / AI,108000,10000,5000,Male,8816,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,162000,"Seattle, WA",4,1,Full Stack,112000,35000,15000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,153000,"Seattle, WA",1,0,Full Stack,116000,22000,15000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,192000,"New York, NY",0,0,Full Stack,128000,25000,39000,Male,10182,0,Asian,Bachelor's Degree,1,1
Amazon,L7,Software Engineer,7.00E+05,"Seattle, WA",15,2,Full Stack,160000,432000,108000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L6,Software Engineer,210000,"Seattle, WA",12,3,Web Development (Front-End),150000,60000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L6,Software Engineer,310000,"Seattle, WA",10,4,Distributed Systems (Back-End),160000,150000,0,Female,11527,1,Asian,Master's Degree,1,0
Amazon,L1,Software Engineer,199000,"Seattle, WA",0,0,Networking,99000,70000,30000,Male,11527,0,Black,Bachelor's Degree,1,1
Amazon,SDE II,Software Engineer,270000,"New York, NY",20,0,Distributed Systems (Back-End),185000,45000,40000,Male,10182,1,White,Master's Degree,1,1
Amazon,L4,Software Engineer,157000,"Seattle, WA",0,0,Full Stack,116000,4000,37000,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,282000,"Seattle, WA",3,0,Distributed Systems (Back-End),160000,14000,108000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,168000,"Seattle, WA",3,0,Full Stack,116000,22000,30000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L6,Software Engineer,361000,"New York, NY",9,7,Full Stack,195000,166000,0,Male,10182,0,Asian,Bachelor's Degree,1,1
Amazon,SDE II,Software Engineer,310000,"Seattle, WA",6,0,ML / AI,160000,94000,56000,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,260000,"Cupertino, CA",6,1,API Development (Back-End),175000,50000,35000,Female,7158,1,Asian,Master's Degree,1,0
Amazon,L6,Software Engineer,345000,"Seattle, WA",8,7,Mobile (iOS + Android),160000,185000,0,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,SDE I,Software Engineer,157000,"Seattle, WA",0,0,Full Stack,116000,4000,37000,Male,11527,1,White,Master's Degree,1,1
Amazon,L4,Software Engineer,165000,"Seattle, WA",2,1,API Development (Back-End),127000,38000,0,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,237000,"Boston, MA",7,0,Distributed Systems (Back-End),160000,44000,34000,Female,8816,1,Asian,Master's Degree,1,0
Amazon,L6,Software Engineer,428000,"Sunnyvale, CA",5,5,ML / AI,185000,243000,0,Male,7472,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,357000,"Sunnyvale, CA",12,3,Android Middleware,165000,192000,0,Male,7472,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,158000,"Seattle, WA",0,0,Full Stack,116000,5000,37000,Male,11527,0,White,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,95000,"Sunnyvale, CA",1,0,Data,95000,0,0,Male,7472,0,Asian,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,190000,"Seattle, WA",4,4,Full Stack,142000,48000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L6,Software Engineer,115000,NA,11,9,Full Stack,80000,35000,0,Male,13147,1,Asian,Master's Degree,1,1
Amazon,L5,Software Engineer,201000,"Seattle, WA",4,4,Distributed Systems (Back-End),149000,50000,2000,Male,11527,0,Asian,Bachelor's Degree,1,1
Amazon,L4,Software Engineer,159000,"Seattle, WA",7,2,Distributed Systems (Back-End),125000,2000,27000,Male,11527,0,Hispanic,Bachelor's Degree,1,1
Amazon,L5,Software Engineer,253000,"San Francisco, CA",3,3,Full Stack,162000,75000,16000,Female,7419,0,Asian,Bachelor's Degree,1,0
Amazon,L4,Software Engineer,170000,"Seattle, WA",2,2,API Development (Back-End),128000,42000,0,Male,11527,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,165000,"San Diego, CA",3,1,Full Stack,135000,3000,27000,Male,7416,1,Asian,Master's Degree,1,1
Amazon,L4,Software Engineer,176000,"San Francisco, CA",0,0,iOS,134000,25000,17000,Male,7419,0,White,Bachelor's Degree,1,1
Amazon,l3,Software Engineer,136000,"Boston, MA",0,0,Distributed Systems (Back-End),116000,20000,0,Male,8816,1,Asian,Master's Degree,1,1
